Name,Price,Rating,Proccesor,Core,Thread,RAM(GB),Storage,Graphic_card,Display,Pixel,OS
HP 240 G8 689U4PA Business Laptop,66240,60.0,11th Gen Intel Core i5 1135G7,Quad Core,8,8 ,512GB,Intel Iris Xe Graphics,14 inches, 1366 x 768 pixels,Windows 11 OS
HP 15s-fq5185TU Laptop,66240,55.0,12th Gen Intel Core i3 1215U,Hexa Core (2P + 4E),8,8 ,512GB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 14-dv2153TU Laptop,66240,63.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,16,1TB,Intel Integrated Iris Xe,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-fy5006TU Laptop,66240,53.0,12th Gen Intel Core i3 1215U,Hexa Core (2P + 4E),8,8 ,512GB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 255 G9 724N9EA Laptop,66240,,3rd Gen AMD Athlon 3050U,Dual Core,2,4 ,256GB,AMD Integrated,15.6 inches, 1366 x 768 pixels,Windows 11 OS
HP 15-fc0027AU Laptop,66240,52.0,7th Gen AMD Ryzen 3 7320U,Quad Core,8,8 ,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 15-eg3018TU Laptop,66240,55.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,16,1TB,Intel Integrated Intel Iris Xe Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 250 G9 7N179PA Laptop,66240,56.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,8 ,512GB,Intel Iris Xe Graphics,15.6 inches, 1366 x 768 pixels,Windows 11 OS
HP Victus 15-fb1015AX Gaming Laptop,66240,66.0,7th Gen Amd Ryzen 5 7535HS,Hexa Core,12,8 ,512GB,4GB NVIDIA GeForce RTX 2050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-wf0056TX 834U0PA Gaming Laptop,66240,68.0,13th Gen Intel Core i7 13700HX,16 Cores (8P + 8E),24,16,512GB,8GB NVIDIA GeForce RTX 4060,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
